title,genre,description,director,cast
Shutter Island,thriller,Two US marshals travel to a remote asylum for the criminally insane to investigate the disappearance of a patient who was being held in a locked cell. As the investigation deepens reality begins to unravel for the lead marshal.,Martin Scorsese,Leonardo DiCaprio;Mark Ruffalo;Ben Kingsley
Prisoners,thriller,When two young girls go missing on Thanksgiving a desperate father takes matters into his own hands after the police release the primary suspect. The hunt for the children exposes the dark edges of a quiet community.,Denis Villeneuve,Hugh Jackman;Jake Gyllenhaal;Paul Dano
The Sixth Sense,thriller,A troubled young boy who communicates with spirits is treated by a child psychologist who is determined to help him. The psychologist discovers a shocking truth about himself that changes everything.,M. Night Shyamalan,Bruce Willis;Haley Joel Osment;Toni Collette
Memento,thriller,A man with anterograde amnesia who cannot form new memories uses polaroid photos and tattoos to hunt for his wifes murderer. The story is told in reverse chronological order immersing the audience in his fractured reality.,Christopher Nolan,Guy Pearce;Carrie-Anne Moss;Joe Pantoliano
Oldboy,thriller,A man is mysteriously imprisoned in a sealed room for fifteen years with only a television for company. When he is suddenly released he sets out on a violent quest for revenge against his unknown captor.,Park Chan-wook,Choi Min-sik;Yoo Ji-tae;Kang Hye-jung
North by Northwest,thriller,A New York advertising executive is mistaken for a government agent and pursued across the country by a ruthless spy organization. His escape leads to a dramatic climax on the faces of Mount Rushmore.,Alfred Hitchcock,Cary Grant;Eva Marie Saint;James Mason
Inception,sci-fi,A professional thief who specializes in stealing secrets from peoples dreams is offered a chance to erase his criminal record if he can perform the impossible task of planting an idea into someones subconscious. He assembles a team for one last job.,Christopher Nolan,Leonardo DiCaprio;Joseph Gordon-Levitt;Elliot Page
Interstellar,sci-fi,In a future where Earth is becoming uninhabitable a former NASA pilot embarks on a journey through a wormhole near Saturn to find a new home for humanity. Time dilation and cosmic distances threaten to sever his connection to his family forever.,Christopher Nolan,Matthew McConaughey;Anne Hathaway;Jessica Chastain
Blade Runner 2049,sci-fi,Officer K a new generation blade runner uncovers a long-buried secret that has the potential to plunge what remains of society into chaos. His discovery leads him on a quest to find Rick Deckard a former blade runner who has been missing for decades.,Denis Villeneuve,Ryan Gosling;Harrison Ford;Ana de Armas
Arrival,sci-fi,When mysterious alien spacecraft land across the globe a linguist is recruited to communicate with the extraterrestrial visitors. Her efforts to understand their language reshape her perception of time itself.,Denis Villeneuve,Amy Adams;Jeremy Renner;Forest Whitaker
Alien,sci-fi,The commercial spaceship Nostromo intercepts a distress signal from a desolate moon and unwittingly brings aboard a deadly extraterrestrial organism. The creature stalks the crew one by one as they fight for survival in the deep vacuum of space.,Ridley Scott,Sigourney Weaver;Tom Skerritt;John Hurt
Ex Machina,sci-fi,A young programmer is invited to administer the Turing test on an advanced humanoid AI named Ava at a reclusive billionaires remote estate. As the testing progresses the lines between creator creation and captor become dangerously blurred.,Alex Garland,Domhnall Gleeson;Alicia Vikander;Oscar Isaac
District 9,sci-fi,When a massive alien ship arrives over Johannesburg South Africa its inhabitants are placed in a segregated internment camp called District 9. A bureaucratic agent becomes infected with alien DNA and must rely on the very beings he once oppressed.,Neill Blomkamp,Sharlto Copley;Jason Cope;David James
The Martian,sci-fi,An astronaut is left behind on Mars after his crew evacuates during a violent storm believing him dead. He must use his scientific knowledge to survive on the hostile planet until a rescue mission can be launched years later.,Ridley Scott,Matt Damon;Jessica Chastain;Jeff Daniels
Looper,sci-fi,In the year 2074 the mob sends its targets back in time to be killed by assassins called loopers. When one looper discovers that his future self has been sent back for termination he hesitates and sets off a chain of events that could alter the timeline.,Rian Johnson,Joseph Gordon-Levitt;Bruce Willis;Emily Blunt
The Terminator,sci-fi,A cyborg assassin is sent back in time from a post-apocalyptic future to kill Sarah Connor before her unborn son can lead the human resistance against the machines. A human soldier is also sent back to protect her at all costs.,James Cameron,Arnold Schwarzenegger;Linda Hamilton;Michael Biehn
The Shining,horror,Jack Torrance a struggling writer becomes the winter caretaker of a remote haunted hotel and brings his wife and young son along. As isolation takes hold supernatural forces drive him toward a violent breakdown.,Stanley Kubrick,Jack Nicholson;Shelley Duvall;Danny Lloyd
Get Out,horror,A young black man visits his white girlfriends family estate for the first time and becomes uneasy about the strangely welcoming behavior of the residents and staff. He uncovers a horrifying conspiracy that threatens his existence.,Jordan Peele,Daniel Kaluuya;Allison Williams;Bradley Whitford
Hereditary,horror,After the death of her secretive mother a woman discovers dark and disturbing secrets about her family lineage. Her teenage son who has a troubled relationship with her becomes the focus of a malevolent supernatural force.,Ari Aster,Toni Collette;Alex Wolff;Milly Shapiro
The Conjuring,horror,Paranormal investigators Ed and Lorraine Warren help a family terrorized by a dark presence in their secluded Rhode Island farmhouse. The case becomes one of the most harrowing in their files as the entity fights to keep its hold on the family.,James Wan,Vera Farmiga;Patrick Wilson;Lili Taylor
It Follows,horror,A teenage girl is pursued by an invisible supernatural entity that relentlessly follows her after a sexual encounter. The entity can take the form of anyone and will keep walking toward her until it kills her or she passes it to someone else.,David Robert Mitchell,Maika Monroe;Keir Gilchrist;Daniel Zovatto
A Quiet Place,horror,In a post-apocalyptic world overrun by blind creatures with hyper-sensitive hearing a family must live in complete silence to survive. When a new threat emerges they are forced to find creative ways to fight back without making a sound.,John Krasinski,Emily Blunt;John Krasinski;Millicent Simmonds
The Exorcist,horror,When a twelve-year-old girl begins exhibiting bizarre and violent behavior her desperate mother seeks help from two Catholic priests. They perform a dangerous exorcism to expel the powerful demon possessing the child.,William Friedkin,Ellen Burstyn;Max von Sydow;Linda Blair
Halloween,horror,On Halloween night a young babysitter and her friends are stalked by the escaped mental patient Michael Myers who murdered his sister on the same night fifteen years earlier. He returns to his hometown to continue his killing spree.,John Carpenter,Jamie Lee Curtis;Donald Pleasence;Tony Moran
Rosemarys Baby,horror,A young couple moves into a historic Manhattan apartment building with a dark reputation. The wife becomes pregnant under sinister circumstances and begins to suspect that her neighbors are part of a satanic cult with designs on her unborn child.,Roman Polanski,Mia Farrow;John Cassavetes;Ruth Gordon
The Babadook,horror,A widowed mother struggles to raise her troubled son who is terrified of a monster he believes lives in their house. When a mysterious pop-up book appears featuring a creature called the Babadook the line between imagination and reality dissolves.,Jennifer Kent,Essie Davis;Noah Wiseman;Daniel Henshall
The Notebook,romance,An elderly man reads a love story to a fellow nursing home resident recounting the passionate summer romance between a poor mill worker and a wealthy debutante in 1940s South Carolina. Their love endures through war class differences and Alzheimers.,Nick Cassavetes,Ryan Gosling;Rachel McAdams;James Garner
Eternal Sunshine of the Spotless Mind,romance,After a painful breakup a man undergoes a medical procedure to erase all memories of his ex-girlfriend. During the process he relives their relationship and realizes he wants to keep the memories after all.,Michel Gondry,Jim Carrey;Kate Winslet;Tom Wilkinson
Pride and Prejudice,romance,The headstrong Elizabeth Bennet navigates issues of manners morality and marriage in Georgian-era England. Her evolving relationship with the seemingly proud Mr Darcy challenges both their prejudices about love and class.,Joe Wright,Keira Knightley;Matthew Macfadyen;Rosamund Pike
La La Land,romance,A jazz pianist and an aspiring actress meet and fall in love in Los Angeles while pursuing their artistic dreams. Their relationship is tested by the demands of their careers and the sacrifices required for success.,Damien Chazelle,Ryan Gosling;Emma Stone;John Legend
Titanic,romance,A wealthy young woman aboard the ill-fated RMS Titanic falls in love with a penniless artist from steerage. Their forbidden romance unfolds against the backdrop of the ships tragic sinking in the North Atlantic.,James Cameron,Leonardo DiCaprio;Kate Winslet;Billy Zane
Before Sunrise,romance,A young American man and a French woman meet on a train in Europe and decide to spend the night exploring Vienna together. Their conversations about life love and philosophy form an intimate connection that may never be repeated.,Richard Linklater,Ethan Hawke;Julie Delpy;Hanno Poschl
When Harry Met Sally,romance,Two friends debate whether men and women can ever truly be just friends over the course of more than a decade. Their evolving relationship from mutual disdain to deep friendship and eventually love is filled with witty banter and genuine emotion.,Rob Reiner,Billy Crystal;Meg Ryan;Carrie Fisher
Crazy Rich Asians,romance,An American-born Chinese economics professor travels to Singapore to meet her boyfriends incredibly wealthy family for the first time. She must navigate jealous socialites disapproving relatives and immense cultural pressure to prove her worth.,Jon M. Chu,Constance Wu;Henry Golding;Michelle Yeoh
500 Days of Summer,romance,A would-be architect reflects on his relationship with a free-spirited woman who does not believe in true love. The nonlinear narrative jumps through the highs and lows of their relationship showing both perspectives.,Marc Webb,Joseph Gordon-Levitt;Zooey Deschanel;Geoffrey Arend
Amelie,romance,A shy waitress in Paris decides to secretly improve the lives of the people around her after discovering a hidden treasure in her apartment. Her anonymous acts of kindness lead her on a journey to find her own happiness.,Jean-Pierre Jeunet,Audrey Tautou;Mathieu Kassovitz;Rufus
Spirited Away,animation, A young girl named Chihiro wanders into a magical world of spirits and gods where her parents are turned into pigs. She must work at a bathhouse run by the witch Yubaba to find a way to break the curse and return home.,Hayao Miyazaki,Rumi Hiiragi;Miyu Irino;Mari Natsuki
Toy Story,animation,A cowboy doll feels threatened when a space ranger action figure becomes his owners new favorite toy. The rivals must set aside their jealousy and work together when they are both lost and must find their way back home.,John Lasseter,Tom Hanks;Tim Allen;Don Rickles
The Lion King,animation,A young lion prince flees his kingdom after his uncles murderous plot kills his father and blames him for the tragedy. He must overcome his guilt and fear to reclaim his rightful place as king of the Pride Lands.,Roger Allers;Rob Minkoff,James Earl Jones;Matthew Broderick;Jeremy Irons
Up,animation,An elderly widower fulfills his late wifes dream of adventure by tying thousands of balloons to his house and flying to South America. An enthusiastic young stowaway joins his journey teaching him that life is worth living after loss.,Pete Docter,Ed Asner;Jordan Nagai;Christopher Plummer
Finding Nemo,animation,A overprotective clownfish father must traverse the entire Pacific Ocean to rescue his son Nemo who has been captured by a scuba diver. Along the way he befriends a forgetful blue tang named Dory who helps him navigate the dangers of the deep.,Andrew Stanton,Albert Brooks;Ellen DeGeneres;Alexander Gould
Spider-Man: Into the Spider-Verse,animation,Teenager Miles Morales becomes the Spider-Man of his dimension after being bitten by a radioactive spider. He teams up with Spider-People from alternate universes to stop a threat that could destroy all of reality.,Bob Persichetti;Peter Ramsey;Rodney Rothman,Shameik Moore;Jake Johnson;Hailee Steinfeld
Inside Out,animation,Eleven-year-old Riley moves to a new city and her emotions Joy Sadness Anger Fear and Disgust struggle to help her adjust. The emotions must learn to work together as Joy realizes that sadness plays a crucial role in healing.,Pete Docter,Amy Poehler;Phyllis Smith;Bill Hader
Wall-E,animation,In a future where Earth has been abandoned a solitary trash-compacting robot named Wall-E discovers a tiny plant that could signal the planets restoration. He embarks on a space journey with a sleek probe robot named Eve to save humanity.,Andrew Stanton,Ben Burtt;Elissa Knight;Jeff Garlin
My Neighbor Totoro,animation,Two young sisters move to the countryside with their father to be closer to their hospitalized mother. They discover that the nearby forest is home to magical creatures including the gentle giant Totoro who grants them extraordinary adventures.,Hayao Miyazaki,Hitoshi Takagi;Noriko Hidaka;Chika Sakamoto
How to Train Your Dragon,animation,A young Viking named Hiccup defies his tribes centuries-old tradition of dragon slaying when he befriends a wounded dragon he names Toothless. Together they prove that understanding dragons is more powerful than fighting them.,Dean DeBlois,Jay Baruchel;Gerard Butler;Craig Ferguson
